date,reference,theme_name,collection_name
9/6/2025,John 3:14,Salvation,Gospel Project
9/8/2025,Genesis 1:1-13,Creation,Gospel Project
9/9/2025,Genesis 1:14-2:3,Creation,Gospel Project
9/10/2025,Psalm 8,Creation,Gospel Project
9/11/2025,Genesis 2:4-17,Creation,Gospel Project
9/12/2025,Genesis 2:18-25,Creation,Gospel Project
9/13/2025,Psalm 148,Creation,Gospel Project
9/15/2025,Genesis 3:1-7,The Fall,Gospel Project
9/16/2025,Genesis 3:8-13,The Fall,Gospel Project
9/17/2025,Genesis 3:14-16,The Fall,Gospel Project
9/18/2025,Genesis 3:17-19,The Fall,Gospel Project
9/19/2025,Genesis 3:20-24,The Fall,Gospel Project
9/20/2025,Psalm 6,The Fall,Gospel Project
9/22/2025,Genesis 4:1-5,The First Family,Gospel Project
9/23/2025,Genesis 4:6-8,The First Family,Gospel Project
9/24/2025,Genesis 4:9-12,The First Family,Gospel Project
9/25/2025,Genesis 4:13-16,The First Family,Gospel Project
9/26/2025,Genesis 4:17-26,The First Family,Gospel Project
9/27/2025,Psalm 75,The First Family,Gospel Project
9/29/2025,Genesis 5:1-32,The Flood,Gospel Project
9/30/2025,Genesis 6:1-7:24,The Flood,Gospel Project
10/1/2025,Genesis 8:1-22,The Flood,Gospel Project
10/2/2025,Genesis 9:1-17,The Flood,Gospel Project
10/3/2025,Genesis 9:18-29,The Flood,Gospel Project
10/4/2025,Psalm 53,The Flood,Gospel Project
10/6/2025,Genesis 10:1-20,The Tower of Babel,Gospel Project
10/7/2025,Genesis 10:21-32,The Tower of Babel,Gospel Project
10/8/2025,Genesis 11:1-4,The Tower of Babel,Gospel Project
10/9/2025,Genesis 11:5-9,The Tower of Babel,Gospel Project
10/10/2025,Genesis 11:10-26,The Tower of Babel,Gospel Project
10/11/2025,Psalm 96,The Tower of Babel,Gospel Project
10/13/2025,Genesis 11:27-32,Abram's Call,Gospel Project
10/14/2025,Genesis 12:1-9,Abram's Call,Gospel Project
10/15/2025,Genesis 12:10-20,Abram's Call,Gospel Project
10/16/2025,Genesis 13:1-18,Abram's Call,Gospel Project
10/17/2025,Genesis 14:1-24,Abram's Call,Gospel Project
10/18/2025,Psalm 128,Abram's Call,Gospel Project
10/20/2025,Genesis 15:1-21,Abraham's Covenant,Gospel Project
10/21/2025,Genesis 16:1-16,Abraham's Covenant,Gospel Project
10/22/2025,Genesis 17:1-27,Abraham's Covenant,Gospel Project
10/23/2025,Genesis 18:1-15,Abraham's Covenant,Gospel Project
10/24/2025,Genesis 18:16-19:38,Abraham's Covenant,Gospel Project
10/25/2025,Psalm 105,Abraham's Covenant,Gospel Project
10/27/2025,Genesis 20:1-18,Abraham's Test,Gospel Project
10/28/2025,Genesis 21:1-17,Abraham's Test,Gospel Project
10/29/2025,Genesis 21:8-21,Abraham's Test,Gospel Project
10/30/2025,Genesis 21:22-34,Abraham's Test,Gospel Project
10/31/2025,Genesis 22:1-19,Abraham's Test,Gospel Project
